,num_sectn_,RES_NM_REG
196,3678001000,Mauricie
197,0013811506,Montréal
198,4386002000,Capitale-Nationale
199,0011255300,Estrie
200,0002058125,Chaudière-Appalaches
201,0024120000,Estrie
202,0004031501,Mauricie
203,0008508000,Bas-Saint-Laurent
204,0005513806,Estrie
205,8648301000,Chaudière-Appalaches
206,4186901000,Capitale-Nationale
207,0020113000,Montérégie
208,0001304000,Montréal
209,7550101000,Estrie
210,4695002000,Saguenay–Lac-Saint-Jean
211,0054083004,Capitale-Nationale
212,2494001000,Outaouais
213,0004059000,Capitale-Nationale
214,0002033000,Montérégie
215,8036005000,Centre-du-Québec
216,0064082500,Laurentides
217,0064080008,Laurentides
218,0013223000,Centre-du-Québec
219,0008550000,Bas-Saint-Laurent
220,6367000500,Montérégie
221,0074015006,Capitale-Nationale
222,0036438500,Laurentides
223,0074025010,Capitale-Nationale
224,0010482000,Intersection: Montérégie + Estrie
225,0005502802,Estrie
226,4437001000,Capitale-Nationale
227,0001521000,Laurentides
228,0064080005,Laurentides
229,0026302500,Estrie
230,0001935001,Laval
231,0041041916,Estrie
232,0008513000,Bas-Saint-Laurent
233,7150302000,Montérégie
234,0007345050,Capitale-Nationale
235,0022747500,Montérégie
236,0002061012,Chaudière-Appalaches
237,0003532000,Montérégie
238,9228101000,Bas-Saint-Laurent
239,0032347500,Laurentides
240,0005555001,Mauricie
241,0010814000,Estrie
242,9562008000,Bas-Saint-Laurent
243,0014110000,Estrie
244,0021652500,Chaudière-Appalaches
245,8629001000,Chaudière-Appalaches
246,8469002000,Estrie
247,0024966000,Estrie
248,9262102000,Bas-Saint-Laurent
249,4693001000,Saguenay–Lac-Saint-Jean
250,0014870000,Laurentides
251,0002047000,Centre-du-Québec
252,0036671000,Outaouais
253,0025132500,Estrie
254,6371930000,Montérégie
255,9542801000,Bas-Saint-Laurent
256,0013298200,Bas-Saint-Laurent
257,0036625000,Outaouais
258,0004026108,Lanaudière
259,9284001000,Bas-Saint-Laurent
260,8036003000,Centre-du-Québec
261,0033524000,Laval
262,0014848000,Outaouais
263,0011784900,Abitibi-Témiscamingue
264,0007060012,Saguenay–Lac-Saint-Jean
265,2852814000,Outaouais
266,0054083000,Capitale-Nationale
267,0013216300,Montérégie
268,0093004000,Montérégie
269,9629701000,Bas-Saint-Laurent
270,0013112500,Lanaudière
271,0054083005,Capitale-Nationale
272,0001307501,Laurentides
273,0004044001,Capitale-Nationale
274,9527005000,Gaspésie–Îles-de-la-Madeleine
275,0010487000,Estrie
276,4463202000,Saguenay–Lac-Saint-Jean
277,7142002000,Montérégie
278,0034410000,Laurentides
279,0028950000,Bas-Saint-Laurent
280,0025570000,Centre-du-Québec
281,0030710000,Outaouais
282,9263001000,Bas-Saint-Laurent
283,0013812000,Montréal
284,0013291150,Gaspésie–Îles-de-la-Madeleine
285,9678404000,Bas-Saint-Laurent
286,0010962500,Nord-du-Québec
287,0011277000,Chaudière-Appalaches
288,0020522500,Montérégie
289,0013269500,Bas-Saint-Laurent
290,0017055500,Saguenay–Lac-Saint-Jean
291,0022108000,Montérégie
292,0041047008,Estrie
293,6788001000,Estrie
294,0020166000,Montérégie
295,0010811000,Estrie
296,9652102000,Bas-Saint-Laurent
297,0016126000,Centre-du-Québec
298,0017313000,Chaudière-Appalaches
299,4715101000,Saguenay–Lac-Saint-Jean
300,0011248100,Estrie
301,2358101000,Abitibi-Témiscamingue
302,0013301000,
303,4275002000,Capitale-Nationale
304,0014339500,Estrie
305,0014351000,Intersection: Centre-du-Québec + Estrie
306,0061030000,Estrie
307,0001024408,Estrie
308,0015920000,Mauricie
309,0013807500,Montérégie
310,0013220600,Montérégie
311,0007020000,Saguenay–Lac-Saint-Jean
312,0052014001,Montréal
313,0013287800,Gaspésie–Îles-de-la-Madeleine
314,0015342500,Mauricie
315,0002514471,Montréal
316,0033725000,Lanaudière
317,0011152500,Abitibi-Témiscamingue
318,0013299600,Bas-Saint-Laurent
319,0011141000,Abitibi-Témiscamingue
320,0003002000,Montérégie
321,0013289390,Gaspésie–Îles-de-la-Madeleine
322,0074025006,Capitale-Nationale
323,0001311001,Laurentides
324,0003022500,Montérégie
325,0015317500,Mauricie
326,0033735000,Lanaudière
327,0007030004,Saguenay–Lac-Saint-Jean
328,0005023000,Outaouais
329,0017550012,Capitale-Nationale
330,0027737500,Chaudière-Appalaches
331,0003536040,Montérégie
332,3640202000,Lanaudière
333,0014304600,Estrie
334,0010558000,Outaouais
335,4785001000,Saguenay–Lac-Saint-Jean
336,2954001000,Laurentides
337,0013645000,Capitale-Nationale
338,7164301000,Montérégie
339,0017114000,Chaudière-Appalaches
340,0017008000,Saguenay–Lac-Saint-Jean
341,0013801900,Montérégie
342,0007357005,Capitale-Nationale
343,3953002000,Mauricie
344,9244003000,Bas-Saint-Laurent
345,0021938000,Montérégie
346,6371920000,Montérégie
347,0010940000,Abitibi-Témiscamingue
348,0002066011,Chaudière-Appalaches
349,0064087500,Laurentides
350,9392000500,Bas-Saint-Laurent
351,0074045002,Capitale-Nationale
352,0003107500,Lanaudière
353,0002011600,Montréal
354,2065001000,Abitibi-Témiscamingue
355,0013883050,Côte-Nord
356,0044050004,Capitale-Nationale
357,4715001000,Saguenay–Lac-Saint-Jean
358,7856801000,Centre-du-Québec
359,3011110000,Montérégie
360,0001020000,Estrie
361,4463500100,Saguenay–Lac-Saint-Jean
362,0004052514,Capitale-Nationale
363,0021936000,Montérégie
364,0002065531,Chaudière-Appalaches
365,0013868700,Capitale-Nationale
366,0013299500,Bas-Saint-Laurent
367,0029830000,Bas-Saint-Laurent
368,0016953000,Saguenay–Lac-Saint-Jean
369,0029610000,Bas-Saint-Laurent
370,0001510000,Montérégie
371,0001020102,Estrie
372,2196003000,Abitibi-Témiscamingue
373,0021835000,Chaudière-Appalaches
374,0039108000,Abitibi-Témiscamingue
375,0007358042,Capitale-Nationale
376,0025550500,Estrie
377,0002004720,Montérégie
378,0034027000,Montérégie
379,0026567500,Centre-du-Québec
380,0016752500,Nord-du-Québec
381,0011611900,Montérégie
382,8874101000,Chaudière-Appalaches
383,9176208000,Bas-Saint-Laurent
384,0011342500,Nord-du-Québec
385,0034214000,Montérégie
386,0044017500,Laval
387,0013278210,Gaspésie–Îles-de-la-Madeleine
388,0021431000,Estrie
389,0004026002,Montréal
390,0041047004,Estrie
391,0034455000,Laurentides
392,4741001000,Saguenay–Lac-Saint-Jean
393,0015820000,Laurentides
394,7192101000,Montérégie
395,0023048000,Bas-Saint-Laurent
396,0007357000,Capitale-Nationale
397,0013215001,Montérégie
398,6127000200,Montérégie
399,0029344000,Bas-Saint-Laurent
400,0002050000,Chaudière-Appalaches
401,0004057010,Capitale-Nationale
402,0044045002,Capitale-Nationale
403,0020313000,Montérégie
404,7142004000,Montérégie
405,0027555000,Chaudière-Appalaches
406,0032107500,Outaouais
407,0002006602,Montérégie
408,0004014000,Montréal
409,0013290150,Gaspésie–Îles-de-la-Madeleine
410,0013299800,Bas-Saint-Laurent
411,0036675000,Outaouais
412,0002514400,Montréal
413,0014315000,Estrie
414,0041045000,Estrie
415,0019923000,Gaspésie–Îles-de-la-Madeleine
416,6873005000,Estrie
417,0014115500,Estrie
418,2211796050,Abitibi-Témiscamingue
419,0035241000,Mauricie
420,0029863000,Bas-Saint-Laurent
421,0001525000,Laurentides
422,0012230100,Centre-du-Québec
423,0034402000,Laurentides
424,0002027006,Montérégie
425,0013262500,Bas-Saint-Laurent
426,0013297000,Bas-Saint-Laurent
427,0016905000,Intersection: Capitale-Nationale + Saguenay–Lac-Saint-Jean
428,0001020500,Estrie
429,7564003000,Estrie
430,0026320000,Estrie
431,2151003000,Abitibi-Témiscamingue
432,0011787500,Abitibi-Témiscamingue
433,6086010000,Montérégie
434,0026716000,Chaudière-Appalaches
435,0013838200,Mauricie
436,3386001000,Lanaudière
437,0021132500,Montérégie
438,0021750000,Montérégie
439,0011322000,Abitibi-Témiscamingue
440,0011670000,Centre-du-Québec
441,0001303500,Montréal
442,0032902500,Laurentides
443,0020174000,Montérégie
444,0026150000,Centre-du-Québec
445,0010478000,Montérégie
446,9367001000,Bas-Saint-Laurent
447,3586001000,Lanaudière
448,0013257800,Bas-Saint-Laurent
449,0028115000,Chaudière-Appalaches
450,0004058020,Capitale-Nationale
451,2672202000,Laurentides
452,3480006000,Lanaudière
453,9161004000,Bas-Saint-Laurent
454,0022237500,Estrie
455,3734004000,Mauricie
456,0005006007,Outaouais
457,0007020004,Saguenay–Lac-Saint-Jean
458,2258001000,Abitibi-Témiscamingue
459,0013210000,Montérégie
460,0017320000,Chaudière-Appalaches
461,0013804500,Montérégie
462,0011677000,Intersection: Centre-du-Québec + Chaudière-Appalaches
463,0032117500,Outaouais
464,2540001000,Outaouais
465,0013283400,Gaspésie–Îles-de-la-Madeleine
466,0014830000,Outaouais
467,0030330000,Outaouais
468,0014869000,Laurentides
469,0015837000,Lanaudière
470,6367004000,Montérégie
471,0007346028,Capitale-Nationale
472,0027640000,Chaudière-Appalaches
