section,nom,type,debut,fin,dg,dt,cs,municipalite
2151001000,,Route,route de Lareine-Saint-Lambert,route 111,53.0,91.0,9.0,La Reine
5512000,autoroute 55,Route,route 249,route 243,53.0,90.0,9.0,Melbourne
7857002000,,Route,10e rang (78581),route Gamache (78590),53.0,64.0,8.0,Sainte-Brigitte-des-Saults
7772001000,,Route,Chemin des Trois-Lacs,Rue Dusseault,53.0,90.0,9.0,Asbestos
20250500,ROUTE 202,Route,rang Saint-Henri (63251),Rue Marziali,53.0,90.0,12.0,Bedford
4090001000,RUE PROVENCHER,Route,route 138,au centre du viaduc de l'autoroute 40,53.0,71.0,86.0,Portneuf
4441001000,Rue Principale (St-Aimé-des-Lacs),Route,route 138,chemin du Lac-Nairne,53.0,71.0,85.0,Saint-Aimé-des-Lacs
4275200100,Accès à la 175 sud,Route,Parc Jacques-Cartier,R-175 Sud,53.0,71.0,84.0,Stoneham-et-Tewkesbury
14825000,route 148,Route,rue Terry-Fox,intersection chemin Eardley et boul. de l'Outaouais,53.0,89.0,7.0,Gatineau
23522000,Route 235,Route,Rang Kempt,route 104,53.0,90.0,12.0,Sainte-Sabine
2058112,00020-06-081-3AC0,Bretelle,"rte 275, Taniata",A-20 Est,53.0,66.0,10.0,Lévis
41039002,00410-01-025-32B0,Bretelle,Boulevard Industriel (S-2),Autoroute 410 est,53.0,90.0,8.0,Sherbrooke
1307502,00013-02-084-31J0,Bretelle,Intersection centre de la  rue Hector-Lanthier,Intersection A-13 Sud,56.0,29.0,2.0,Boisbriand
1511500,AUTOROUTE 15 ET ROUTE 132,Route,Boulevard Salaberry (sortie 46),Boulevard Matte (sortie 50),56.0,29.0,2.0,La Prairie
44022800,autoroute 440,Route,sortie vers PPP 25,Jonction de l'autoroute 25 (0002501056000D),56.0,29.0,2.0,Laval
29128000,Route 291,Route,route 185,Vieux chemin,53.0,65.0,7.0,Saint-Honoré-de-Témiscouata
1022800,autoroute 10,Route,route 141,autoroute 55,53.0,90.0,8.0,Magog
9226301000,Route de Saint-Germain,Route,route 230,grand 2e rang,53.0,65.0,9.0,Saint-Germain
10826500,route 108,Route,"Harrold Drive, Université Bishop",Giratoire,53.0,90.0,8.0,Sherbrooke
14874000,route 148,Route,boul. industriel,à l'est du Pont Arthur Sauvé,56.0,29.0,2.0,Saint-Eustache
13286000,route 132,Route,boulevard  Boul. York Est ( Pont ) route 198 \ 132,route 198 (boulevard York),53.0,63.0,7.0,Gaspé
3532520,00035-02-040-32A0,Bretelle,A-35 nord,Rue Douglas,53.0,86.0,11.0,Saint-Jean-sur-Richelieu
4857601000,RUE  ST-JEAN-BAPTISTE,Route,Rte 170,Rue du Coin,53.0,68.0,6.0,L'Anse-Saint-Jean
34853500,,Route,limite nord de Saint-Gabriel,chemin Beauparlant,53.0,88.0,6.0,Saint-Gabriel-de-Brandon
52013001,00520-01-025-33A0,Bretelle,SORTIE SUR V. SERV. POUR 55 IEME AVENUE,À préciser,56.0,29.0,2.0,Montréal
20150510,00201-02-010-32A0,Bretelle,Route 201 nord,Fin du biseau route 338 est,53.0,86.0,12.0,Coteau-du-Lac
2041000,A20 (A55 -> R122),Route,route 122,autoroute 55,53.0,64.0,8.0,Saint-Germain-de-Grantham
3036003,00030-03-121-34A0,Bretelle,VENANT AUT. 30 VERS BOUL. ST-LOUIS.,Non-défini,53.0,86.0,10.0,Sorel-Tracy
36537500,RUE DU COLLÈGE,Route,rue Saint-Marc,route 358 Est (Grand Capsa),53.0,71.0,86.0,Pont-Rouge
27643500,Route 276,Route,roue 173,autoroute 73,53.0,66.0,6.0,Saint-Joseph-de-Beauce
9568002000,Route Sainte-Irène / Route de Val-d'Irène,Route,rte Val-D'Irène,int. Ste-Irène,53.0,65.0,6.0,Sainte-Irène
34432500,Chemin d'Oka,Route,vis-à-vis la rue Girouard,entrée du Parc Paul-Sauvé,56.0,29.0,2.0,Oka
44040013,00440-06-140-V3A0 (515-1099),Bretelle,00440-06-140-000D,00440-06-150-000D,53.0,71.0,84.0,Québec
4011001,00040-02-111-32B0,Bretelle,BRETELLE 00040-02-111-32AO,A-15 SUD (DÉCARIE),56.0,29.0,2.0,Mont-Royal
1020102,00010-02-191-31A0,Bretelle,Autoroute 10 Est (S-88),Boulevard de l'Horizon,53.0,90.0,12.0,Shefford
13828100,route 138,Route,Fin des 4 voies,ch. du Brûlé,53.0,70.0,7.0,Louiseville
21605000,ROUTE 216,Route,chemin St-Rock,chemin Labbé,53.0,90.0,8.0,Sherbrooke
2538001000,CHEMIN BOIS FRANC,Route,route 148,ch. access aux ressources fin de la rte,53.0,89.0,8.0,Mansfield-et-Pontefract
23640000,ROUTE 236,Route,rue Principale (60860),route 201,53.0,86.0,12.0,Saint-Stanislas-de-Kostka
61020000,Autoroute 610,Route,boul. St-François,route 216,53.0,90.0,8.0,Sherbrooke
32930000,route 329,Route,Lantier,chemin du Lac de la Montée Noire,53.0,88.0,9.0,Lantier
4889202000,,Route,rue de la Mer,rue Saint-Joseph (48890),53.0,67.0,9.0,Les Bergeronnes
1020906,Au ch. 2 022 00010-02-220-000G,Bretelle,Autoroute 10 Ouest (S-100),Chemin Grand-Bois,53.0,90.0,8.0,Saint-Étienne-de-Bolton
10812500,route 108,Route,Chemin Archambault,chemin d'Ayer's Cliff,53.0,90.0,10.0,Sainte-Catherine-de-Hatley
14840000,route 148,Route,aut. 50,ch. de la savanne,53.0,89.0,7.0,Gatineau
13123000,route 131,Route,route Principale,chemin Barette,53.0,88.0,6.0,Saint-Félix-de-Valois
1020308,00010-02-191-32G0,Bretelle,Autoroute 10 Ouest (S-90),"Route 243, Ch. Foster",53.0,90.0,12.0,Shefford
28330000,Route 283 / Route 283 Sud,Route,à l'intersection nord de la route 204,route 216,53.0,66.0,8.0,Saint-Paul-de-Montminy
25550500,route 255,Route,boul. de Shipton,rue Craig,53.0,90.0,9.0,Danville
1525500,autoroute 15,Route,à la sortie 45 pour la route 117,Bretelle de sortie vers Prévost (31A0),53.0,88.0,7.0,Prévost
64085002,00640-03-024-33C0,Bretelle,Intersection A-640 Ouest,Intersection centre rue De Langloiserie,56.0,29.0,2.0,Blainville
2086000,autoroute 20,Route,Montée des Saules,Route 232,53.0,65.0,6.0,Rimouski
14811000,route 148,Route,rue Thomas-Lefebvre Ouest,rue Thomas-Lefebvre Est,53.0,89.0,8.0,Mansfield-et-Pontefract
13826600,route 138,Route,Montée Saint-Laurent,Maskinongé,53.0,88.0,6.0,Saint-Barthélemy
4852101000,RUE NOTRE-DAME,Route,Rte 170,Limite du parc Saguenay,53.0,68.0,6.0,Rivière-Éternité
74050500,AUT. DU VALLON,Route,Face à entrée Jean-Perrin vers aut. 40,Entrée venant voie service direction Est,53.0,71.0,84.0,Québec
3019010,00030-02-300-31C0,Bretelle,Route 207-221,Autoroute 30 est,56.0,29.0,2.0,Saint-Constant
26333000,route 263,Route,chemin Thibodeau,rue Lavoie,53.0,66.0,7.0,Disraeli
2396302000,,Route,rue Sheenboro,chemin Desjardinsville,53.0,89.0,8.0,Chichester
4033500,autoroute 40,Route,à l'intersection sud de l'autoroute 55,Intersection avec la bretelle 31A0 vers des Récollets,53.0,70.0,7.0,Trois-Rivières
13210000,ROUTE 132,Route,Rue Centrale et Rue Monchamp,Rue Brébeuf,56.0,29.0,2.0,Sainte-Catherine
2024000,AUTOROUTE 20-132,Route,Boul. Roland-Therrien,Jct aut. 20 et route 132,56.0,29.0,2.0,Longueuil
13350000,route 133,Route,autoroute 20,Le grand rang (70830),56.0,29.0,2.0,Mont-Saint-Hilaire
21932000,CHEMIN DES CARRIÈRES,Route,chemin du Clocher (63653),chemin Grand-Bernier (route 219 nord),53.0,86.0,11.0,Saint-Jean-sur-Richelieu
2001175,halte routière,Bretelle,entrée de la halte routiére,sortie de la halte routière,53.0,86.0,12.0,Rivière-Beaudette
10139000,route 101,Route,"Vilroc, chemin 8e et 9e rang ouest",route 117,53.0,91.0,7.0,Rouyn-Noranda
10562500,route 105,Route,Bois-Franc,chemin Montcerf,53.0,89.0,9.0,Bois-Franc
36049000,Permanent Mont Ste-Anne,Route,13 METRES AU SUD PONT ROUTE 138,BOUT DU MUSOIR DES VOIES SEPAREES,53.0,71.0,84.0,Beaupré
25329000,route 253,Route,Rue Fraser,Rue Plaisance,53.0,90.0,7.0,Cookshire-Eaton
15316500,route 153,Route,route 351,route 350,53.0,70.0,7.0,Saint-Barnabé
4062500,autoroute 40,Route,rue Seigneuriale,boul. Labelle,53.0,71.0,84.0,Québec
26140000,route 261,Route,autoroute 20,2e rang,53.0,64.0,7.0,Sainte-Anne-du-Sault
1931201000,Chemin de a Pépinière,Route,route 395,bretelle sortie de la Pinière,53.0,91.0,8.0,Trécesson
2075000,autoroute 20,Route,Échangeur 507,Échangeur 514,53.0,65.0,8.0,Cacouna
13301000,route 133,Route,Frontière U.S.A.,Avenue Montgomery et rue Quinn,53.0,90.0,12.0,Saint-Armand
27737500,route 277,Route,"rue Morin, ch St-Jacques",Rang de la Montagne,53.0,66.0,9.0,Saint-Anselme
13269800,route 132,Route,ave du Sanctuaire,route 298,53.0,65.0,6.0,Rimouski
74045010,"Bretelles D1A0 et D1B0, voies résevées autobus boul. Hamel",Bretelle,"Sortie bretelle D1A0, voie réservée autobus boul.Hamel",Boul. Wilfrid Hamel(138),53.0,71.0,84.0,Québec
2157004000,,Route,10e rang,Limite Rainboth début Poirier,53.0,91.0,9.0,Authier-Nord
4058004,00040-08-075-32C0,Bretelle,00040-08-075-32G0,00073-03-160-000D,53.0,71.0,84.0,Québec
7774004000,,Route,10e et 11e rang (77660),9e au 10e rang (78341),53.0,64.0,7.0,Saint-Rémi-de-Tingwick
36915000,Route 369,Route,entrée du camp Valcartier,"chemin Gosford, à Shannon",53.0,71.0,84.0,Saint-Gabriel-de-Valcartier
2877001000,Rang Sainte-Julie Est / Rue Sainte-Julie Est,Route,route 321,route 323,53.0,89.0,6.0,Saint-André-Avellin
34950000,,Route,chemin du Bout du Monde (37411),limite de Saint-Paulin,53.0,70.0,7.0,Saint-Paulin
2024009,00020-03-042-3AQ0,Bretelle,Venant de l'autoroute 20,Intersection avec la bretelle 3AE0 de l'autoroute 25.,56.0,29.0,2.0,Longueuil
2018051,00020-02-110-33A0 (285 -),Bretelle,A-20 Est,A-15 Sud,56.0,29.0,2.0,Montréal
7345003,00073-03-041-32J0,Bretelle,Intersection avec la bretelle 00073-03-041-32K0,Intersection Avenue-des-Hôtels,53.0,71.0,84.0,Québec
4673003000,RTE DE L'ASCENSION,Route,Rg  St-Dominique  (Rg-V),"Rg 7,  l'Ascension",53.0,68.0,7.0,L'Ascension-de-Notre-Seigneur
13294500,route 132,Route,Route de L'Éperlan,Route Nadeau,53.0,63.0,9.0,Carleton-sur-Mer
20213000,ROUTE 202,Route,Chemin Fairview (60746),Herdman (60737),53.0,86.0,12.0,Hinchinbrooke
36804000,pont de l'Île d'Orléan,Route,viaduc de l'autoroute 40,chemin Prévost,53.0,71.0,84.0,TNO aquatique de la MRC de L'Île-d'Orléans
5510302,Rue Laval,Bretelle,Rue Laval (S-60),Autoroute 55 Nord,53.0,90.0,8.0,Sherbrooke
38615000,,Route,route 111,Landrienne,53.0,91.0,8.0,Landrienne
38916000,Route 389,Route,entrée de la centrale de Manic 2,Rivière Georges-Tremblay,53.0,67.0,8.0,Baie-Comeau
64097505,00640-04-012-34A0,Bretelle,Intersection A-640 Est,Intersection centre rue Marcel-Therrien,56.0,29.0,2.0,Terrebonne
4026813,00040-04-052-32B0,Bretelle,Intersection centre Rte 343 (mtée St-Sulpice),Intersection voie de service A-40 Est,56.0,29.0,2.0,Saint-Sulpice
19105000,Boulevard Industriel,Route,Bretelles A-85 directions sud Dégelis / Rivière-du-Loup,Bretelles A-85 direction nord Dégelis / Québec,53.0,65.0,8.0,Rivière-du-Loup
5551500,autoroute 55,Route,Bretelle 3AD0. Entrée sur l'autoroute 55,Bretelle 3AC0. Sortie de l'autoroute 55,53.0,70.0,7.0,Trois-Rivières
7346024,00073-03-041-36D0,Bretelle,Fin du musoir,00073-03-041-000D,53.0,71.0,84.0,Québec
4044000,autoroute 40,Route,sortie route 261,route 358,53.0,71.0,86.0,Cap-Santé
4001090,00040-01-21-33E0,Bretelle,Route 342,autoroute 40 ouest,53.0,86.0,12.0,Rigaud
4463202000,"RANG IV,  ALMA",Route,route du Lac,rue des Urnes,53.0,68.0,7.0,Alma
29840000,Route 298,Route,Rue Principale / Rue Lebel,route 234,53.0,65.0,6.0,Saint-Gabriel-de-Rimouski
41044000,Autoroute Jacques-O'Bready,Route,boul. Université,début de la voie de service,53.0,90.0,8.0,Sherbrooke
16959200,route 169,Route,boul. St-Félicien,boul. Hamel,53.0,68.0,8.0,Saint-Félicien
17550012,00175-02-015-31T0,Bretelle,Intersection avec la section 00175-02-015-000D,Intersection avec la section 00175-02-015-000G,53.0,71.0,84.0,Québec
13327500,CHEMIN DES PATRIOTES,Route,"Route 112, à Richelieu",Chemin de la Rivière-des-Hurons Est,56.0,29.0,2.0,Saint-Mathias-sur-Richelieu
2519000,Autoroute 25,Route,À la fin de l'autoroute 00440-01-102-000D,sortie pour boulevard des Milles-Îles,56.0,29.0,2.0,Laval
11768000,route 117,Route,rte 309,St-Jean-sur-Lac,53.0,88.0,9.0,Mont-Laurier
4015000,autoroute 40,Route,Entrée 80 Autoroute 25 sud,Entrée 80 Autoroute 25 nord,56.0,29.0,2.0,Montréal
6456803000,CHEMIN DE TOURAINE,Route,ch. du Fer-à-Cheval,Rue St-Joseph (64820),56.0,29.0,2.0,Sainte-Julie
16108000,route 161,Route,rue Labelle,Rue Frontenac (84815),53.0,90.0,6.0,Lac-Mégantic
25705000,route 257,Route,frontière U.S.A.,route 210,53.0,90.0,7.0,Chartierville
21617500,Route 216,Route,Chemin Duplessis,4e rang de Stoke,53.0,90.0,9.0,Stoke
27740000,route 277,Route,Rang de la Montagne,Chemin du Traie-Carré,53.0,66.0,9.0,Saint-Henri
4051714,00040-08-010-33P0,Bretelle,CARR.A-40 ET A-540 BRET.P,Indéfini,53.0,71.0,84.0,Québec
9891001000,Chemin du Deuxième-Lac / Rue de Sunny Bank,Route,Début de section,Ct Baillargeon,53.0,63.0,7.0,Gaspé
4688000100,4 IEME RANG,L,LIM.DE LABRECQUE CT & BEGIN SD,fin,53.0,68.0,6.0,Bégin
2002500,AUTOROUTE 20,Route,Route 201 nord (Sortie 17),Chemin Saint -Emmanuel (Sortie 19),53.0,86.0,12.0,Coteau-du-Lac
17324000,route 173,Route,181 ième rue,Route du Golf (87650),53.0,66.0,6.0,Beauceville
20120000,ROUTE 201,Route,route 236,route 132,53.0,86.0,12.0,Saint-Stanislas-de-Kostka
17023000,BOULEVARD DE LA GRANDE-BAIE SUD,Route,Int  sud de la 1re rue,boulevard Saint-Anicet (Rte 372),53.0,68.0,6.0,Saguenay
10940000,route 109,Route,ancienne route 109,chemin des 7e et 8e rang est (Rte de l'Eglise),53.0,91.0,8.0,Amos
3150601000,,Route,route 117,chemin Morin,53.0,88.0,9.0,Val-Morin
10492000,ROUTE 104,Route,route 215,rue Victoria,53.0,90.0,12.0,Lac-Brome
16957500,route 169,Route,"Rte 373,  St-Méthode","Rg St-Euzèbe,  St-Félicien",53.0,68.0,8.0,Saint-Félicien
2505003,00025-01-005-3AJ0,Bretelle,Sortie route 132,Intersection avec la bretelle 3AK0,56.0,29.0,2.0,Longueuil
32922500,route 329,Route,à l'intersection nord-est de la route 117,chemin Sainte-Lucie,53.0,88.0,9.0,Sainte-Agathe-des-Monts
1958001000,,Route,route 386,route 366,53.0,91.0,8.0,Barraute
3540001000,,Route,autoroute 31,route 158,53.0,88.0,6.0,Saint-Thomas
7345004,00073-03-041-31A0 (100-480),Bretelle,00073-03-041-000D,00136-001-011-000D,53.0,71.0,84.0,Québec
13238200,route 132,Route,boul. Méthot,route Demers,53.0,66.0,10.0,Lévis
7323024,Bretelle entrée sud,Bretelle,Rte du Golf,A-73 Sud,53.0,66.0,6.0,Beauceville
2191001000,,Route,route 101,route des 5e et 6e rangs,53.0,91.0,7.0,Rouyn-Noranda
6696101000,Chemin des Érables,Route,chemin Richford (66980),chemin d'Abercorn (67340),53.0,90.0,12.0,Frelighsburg
41041912,00410-01-025-33D0,Bretelle,Rue King est (S-4),A-410 Est,53.0,90.0,8.0,Sherbrooke
4013935,autoroute 40,Route,en face de la sortie 73 de l'A-40 O pour la rue Saint-Hubert et Christophe Colomb,en face de l'entrée Jarry  de l'A-40 O,56.0,29.0,2.0,Montréal
54080001,A-540 et boulevard Hochelaga bretelle A,Bretelle,A 540 Sud,rue Hochelaga,53.0,71.0,84.0,Québec
2129001000,,Route,route des 1er et 2e rangs (20550),route 101,53.0,91.0,9.0,Sainte-Germaine-Boulé
4163100500,ROUTE DE FOSSAMBAULT,Route,route 367,route de Fossambault/ rue Gingras,53.0,71.0,86.0,Fossambault-sur-le-Lac
4051713,Bretelle A-540 nord vers 40-440 est,Bretelle,CARR.A-40 ET A-540 BRET.N,Indéfini,53.0,71.0,84.0,Québec
4021000,autoroute 40,Route," Entrée 80, Autoroute 25 sud","Sortie 82, Boul. Ray Lawson et Boul. Roi-René",56.0,29.0,2.0,Montréal
36540000,BOUL. NOTRE DAME,Route,à l'interesection ouest de la route 358,chemin du Brulé,53.0,71.0,86.0,Pont-Rouge
14128000,route 141,Route,chemin Alfred Desrochers,chemin du Camping,53.0,90.0,10.0,Orford
6864001000,ALFRED-DESROCHERS,Route,Rue des Aulnes,Chemin du 13ième rang (68610) (Chemin Simoneau),53.0,90.0,8.0,Orford
2067500,autoroute 20,Route,"route 132, à la sortie 430",sortie 436,53.0,66.0,8.0,Saint-Roch-des-Aulnaies
22040000,Route 220,Route,chemin Godin,Bout de l'îlot séparateur,53.0,90.0,8.0,Sherbrooke
7685103000,,Route,chemin du Moulin (ouest de St-Isidore),10e rang,53.0,90.0,7.0,Saint-Isidore-de-Clifton
1020306,00010-02-191-32F0,Bretelle,"Route 243, Ch. Foster (S-90)",Autoroute 10 Ouest,53.0,90.0,12.0,Shefford
9546101000,,Route,CHEMIN DU DEPOTOIR,RUE ST-LAURENT,53.0,65.0,6.0,Lac-au-Saumon
26142500,route 261,Route,2 ième Rang  (Route 79360-08),11 ième Rang,53.0,64.0,7.0,Daveluyville
8593201000,Rang Saint-Alexandre / Rue des Pionniers / Rang Saint-Jacque,Route,1er rang,route 112,53.0,66.0,6.0,Saint-Frédéric
7346048,Hochelaga-175 vers 73N,Bretelle,Route 175 et boulevard Laurier,00073-03-041-000D,53.0,71.0,84.0,Québec
27735000,route 277,Route,Sainte-Claire,Saint-Ansèlme,53.0,66.0,9.0,Saint-Anselme
21662500,route 216,Route,à l'intersection nord de la route 275,à l'intersection ouest de la route 275,53.0,66.0,6.0,Sainte-Marguerite
23254800,route 232,Route,Route 296,Route 296 nord,53.0,65.0,7.0,Lac-des-Aigles
2077500,Autoroute Jean-Lesage,Route,route de la Station,route Notre-Dame-des-Neiges,53.0,65.0,8.0,Notre-Dame-des-Neiges
4031000,autoroute 40,Route,route 153,"route 138, à la sortie 187",53.0,70.0,7.0,Yamachiche
15345000,route 153,Route,chemin Petit-Saint-George,route 363,53.0,70.0,6.0,Sainte-Thècle
17240000,route 172,Route,"chemin Labrecque, à Saint-Nazaire",route 169,53.0,68.0,7.0,Saint-Nazaire
13206100,RUE SAINT-LAURENT,Route,Route 236,"Intersection, Ch. St-Louis et Rue St-Laurent",56.0,29.0,2.0,Beauharnois
36550000,"PINIÈRE, 365, GRAND RANG, CÔTE JOYEUSE",Route,rang Ste-Angélique,route de Pionniers,53.0,71.0,86.0,Saint-Raymond
34455000,Chemin de la Grande-Côte,Route,limite municipale est de Rosemère,route 335,56.0,29.0,2.0,Bois-des-Filion
4057020,A-40 et R-358 bretelle H,Bretelle,00040-08-075-000D,Intersection rue Marais ouest,53.0,71.0,84.0,Québec
36781000,ROUTE 367,Route,rang Notre-Dame,avenue Saint-Louis,53.0,71.0,86.0,Saint-Raymond
3533000,autoroute 35,Route,Route 219 (Rue Pierre-Caisse) (sortie 45),Route 104 ouest (Boul. St-Luc) (Sortie 47),53.0,86.0,11.0,Saint-Jean-sur-Richelieu
4048003,00040-07-100-31A0,Bretelle,A-40 Est,route 365,53.0,71.0,86.0,Neuville
10841000,route 108,Route,Intersection nord de la route 263,à l'intersection sud de la route 263,53.0,90.0,6.0,Lambton
7355004,00073-03-180-31E0,Bretelle,rue de la Faune,A-73 Sud,53.0,71.0,84.0,Québec
1517205,00015-02-100-33f0,Bretelle,Boul. Marcel-Laurin direction Sud,Entrée A-15 Sud (Décarie),56.0,29.0,2.0,Mont-Royal
10482000,Rang Double,Route,9e Rang (Ste-Brigide-d'Iberville),route 233,53.0,86.0,11.0,Sainte-Brigide-d'Iberville
7564003000,,Route,route de l'Église,route 249,53.0,90.0,9.0,Saint-Claude
3776002000,ROUTE DE SAINT-SEVERE,Route,chemin des Acadiens (37780),route Saint-Barnabé (37740),53.0,70.0,7.0,Yamachiche
53002040,00530-02-020-31C0,Bretelle,A-530 ouest,Bretelle 00530-02-020-31A0 venant de l'A-530 est,53.0,86.0,12.0,Salaberry-de-Valleyfield
9190403000,,Route,int. 1e rang,int. Petit 4e rang,53.0,65.0,9.0,Saint-Pascal
7345050,Autoroute Henri IV,Route,ch. St-Louis,boul. Hochelaga,53.0,71.0,84.0,Québec
7877102000,BOULEVARD FOUCAULT,Route,chemin de la Rivière,rue Montplaisir,53.0,64.0,8.0,Drummondville
16947500,route 169,Route,"Ch Principal est,  Sainte-Jeanne-d'Arc","Ch  Domtar,  Mistassini",53.0,68.0,8.0,Sainte-Jeanne-d'Arc
10810000,route 108,Route,limite est de Magog,Chemin du brûlé et bretelle 00055-01-090-31C0,53.0,90.0,10.0,Magog
10950000,route 109,Route,9e rang dans Chaste CT.,route de Joutel,53.0,91.0,8.0,Gouvernement régional d'Eeyou Istchee Baie-James
17033000,00170-01-207-000C,Route,Intersection avec le carrefour giratoire,R-170 (chemin de la Grande-Allée),53.0,68.0,6.0,Saguenay
36820000,"CH. DU BOUT DE L'ILE, CH ROYAL",Route,"avenue Orléans, à Sainte-Pétronille","route Prévost, à Saint-Pierre",53.0,71.0,84.0,Saint-Pierre-de-l'Île-d'Orléans
2055001000,,Route,1er et 10e rangs (21290),chemin du 2e et 3e rang est (21301),53.0,91.0,9.0,Sainte-Germaine-Boulé
4050008,00040-07-110-31C0,Bretelle,A-40 Ouest,Route Gravel,53.0,71.0,86.0,Neuville
3665001000,,Route,chemin Saint-Augustin,rue Saint-Pierre (36680),53.0,88.0,6.0,Mandeville
21607500,ROUTE 216,Route,chemin Labbé,Rue Breton et Montante,53.0,90.0,8.0,Sherbrooke
20130000,Boul. Mgr Langlois (route 132-201),Route,Rue Léger et A-30 Express,Route 132 (Boulevard Hébert),53.0,86.0,12.0,Salaberry-de-Valleyfield
6118200500,avenue Souligny,Route,rue Dickson,raccord avec 61182 01 040 000D,56.0,29.0,2.0,Montréal
7030014,00070-01-083-34C0,Bretelle,Intersection Autoroute 70 Ouest,Intersection boul. Mellon Sud,53.0,68.0,6.0,Saguenay
2012500,autoroute 20,Route,Musoir à l'entrée du boulevard des Sources,"Sortie 54, boul Pine Beach et Boul.Fenelon",56.0,29.0,2.0,Dorval
32522100,Route 325,Route,Bretelles A et B de l'A-20,Bretelles C et D de l'A-20,53.0,86.0,12.0,Rivière-Beaudette
11778000,route 117,Route,route Tiblemont-Louvicourt (19410),3e Avenue (giratoire),53.0,91.0,6.0,Val-d'Or
3010550,Éch. 26 / De l'A-30 est à la R-205,Bretelle,Début du biseau autoroute 30 est,Chemin de la Beauce (route 205),56.0,29.0,2.0,Beauharnois
7046001000,Rang Saint-Édouard,Route,bretelle nord de l'autoroute 20,bretelle sud de l'autoroute 20,53.0,86.0,10.0,Saint-Simon
15829500,route 158,Route,rue Murray,route 335-337,53.0,88.0,7.0,Saint-Lin - Laurentides
2057100,Autoroute Jean-Lesage,Route,route 275,chemin des Iles,53.0,66.0,10.0,Lévis
29910000,Route 299,Route,route 132 sud,Grande-Cascapédia,53.0,63.0,9.0,Cascapédia - Saint-Jules
11232500,route 112,Route,Rue Shaw,Route 243,53.0,90.0,12.0,Shefford
20152010,00201-02-010-32B0,Bretelle,Route 338 ouest,Bretelle 00201-02-035-31C0,53.0,86.0,12.0,Coteau-du-Lac
33310000,,Route,route 117,Montée de la côte Saint-André (31510),53.0,88.0,7.0,Saint-Jérôme
4054000,autoroute 40,Route,"autoroute 573 (boul, Henri  l V nord)",début du musoir sortie rte 371 (boul. Masson),53.0,71.0,84.0,Québec
17225000,route 172,Route,"Rte Tremblay-Coulombe, à Shipshaw","Rg des Aulnaies (route Bégin), à Saint-Ambroise",53.0,68.0,6.0,Saguenay
2066011,autoroute 20,Bretelle,ROUTE 285-01-081-000C,AUTOROUTE 00020-07-020-000D,53.0,66.0,8.0,L'Islet
13277500,route 132,Route,Rue (Entrée Est Ste-Félicité),Route des Grosses-Roches,53.0,65.0,6.0,Sainte-Félicité
12540000,route 125,Route,à l'intersection nord de la route 337,route 348 est,53.0,88.0,6.0,Rawdon
29850000,ROUTE 298,Route,Route  234,Chemin du Mont-Comi (94935),53.0,65.0,6.0,Saint-Gabriel-de-Rimouski
17007000,route 170,Route,Sagard,"Centre du pont,   Petit-Saguenay",53.0,68.0,6.0,Petit-Saguenay
1513000,autoroute 15,Route,Sortie du boul. Rivard (#52),Sortie pour l'autoroute 10 (#53),56.0,29.0,2.0,Brossard
13259600,route 132,Route,Rue Saint-Jean-Baptiste Ouest,rue Saint-Jean-Baptiste Est,53.0,65.0,8.0,L'Isle-Verte
4057018,A-40 et R-358 bretelle I,Bretelle,00040-08-075-000G,Intersection rue Bouvier ouest,53.0,71.0,84.0,Québec
4386002000,"LA GRANDE CÔTE, FÉLIX-ANTOINE SAVARD",Route,rang de Éboulements (centre),Côte à Godin,53.0,71.0,85.0,Les Éboulements
4277202000,Chemin de la Sagamité,Route,Rue Tamaris (42641),chemin du Noroit,53.0,71.0,84.0,Stoneham-et-Tewkesbury
13284500,route 132,Route,Route Portage de l'Anse-aux-Griffons,Route 197,53.0,63.0,7.0,Gaspé
10824000,ROUTE 108,Route,Fin du giratoire,Rue Massawippi,53.0,90.0,8.0,Sherbrooke
29520000,route 295,Route,Chemin du Beazley et Rue Baseley,Route du Moulin,53.0,65.0,7.0,Dégelis
7355003,Bretelle 31H0,Bretelle,A-73 Nord,rue de la Faune,53.0,71.0,84.0,Québec
1517202,00015-02-100-33B0 (82-303),Bretelle,A-15 Nord / Sortie 70-O - A-40 Ouest,A-40 Ouest,56.0,29.0,2.0,Montréal
4048004,00040-07-100-31F0,Bretelle,Route 365 (2e Rang),A-40 Ouest,53.0,71.0,86.0,Neuville
9534002000,Route du Chamberland,Route,rue Principale,CHEMIN DE LA CHAINE-DE-ROCHES,53.0,63.0,9.0,Saint-François-d'Assise
14827500,Route 148,Route,Boulevard des Grives,Boulevard St-Raymond,53.0,89.0,7.0,Gatineau
9224002000,Chemin de Rivière-Verte,Route,2e rang de Saint-Modeste (93871),"Premier Rang  St-Modeste ,   Ch . Riv. Verte",53.0,65.0,8.0,Saint-Antonin
4057011,Voie réservée bretelle A40-O vers A740-S,Bretelle,Dans la bretelle 32D0,Fin du musoir de la bretelle 32D0,53.0,71.0,84.0,Québec
11214000,route 112,Route,voie ferrée,route 116,56.0,29.0,2.0,Longueuil
24115000,route 241,Route,Route Pierre-Laporte,Ch. des Carrières et ch. De Granby,53.0,90.0,12.0,Bromont
3848005000,Chemin des Dalles / Route des Dalles,Route,rue Principale,autoroute 55,53.0,70.0,7.0,Saint-Étienne-des-Grès
