section,nom,type,debut,fin,dg,dt,cs,municipalite
11675000,route 116,Route,à l'intersection ouest de la route 218,à l'intersection est de la route 218,53.0,64.0,7.0,Lyster
1517206,00015-02-100-33B0 Ch. 304 à 451,Bretelle,Intersection avec la 0001517207,A-40 Ouest,56.0,29.0,2.0,Montréal
2515000,autoroute 25 PPP,Route,Henri-Bourassa,boul. Perras,56.0,29.0,2.0,Montréal
64091000,Autoroute 640,Route,musoir de l'entrée de la route 337 et chemin des Anglais,musoir de la sortie vers autoroute 25  sud,56.0,29.0,2.0,Terrebonne
7345053,"Carrefour A-73, A-540 et route 175 bretelle R",Bretelle,00073-03-041-34D0,Ovale,53.0,71.0,84.0,Québec
20437500,route 204,Route,Sainte-Justine,route 281,53.0,66.0,11.0,Saint-Camille-de-Lellis
7330000,autoroute 73 de la Beauce,Route,route 276,route 112,53.0,66.0,6.0,Saint-Joseph-de-Beauce
21240000,route 212,Route,"route 257, à La Patrie",route de Chesham (N-D-des-Bois),53.0,90.0,7.0,La Patrie
24525000,route 245,Route,Route Nicholas-Austin (Bolton est),"Bretelles 31A0 et 31B0, sortie 106,  A-10 à Eastman",53.0,90.0,10.0,Bolton-Est
11624000,route 116,Route,à l'intersection bretelles A20 Ouest,à l'intersection bretelles A20 Est,53.0,86.0,10.0,Saint-Liboire
34333000,Rue Beaudry Nord / Route 343,Route,boulevard Manseau,rang de la Petite Noraie,53.0,88.0,6.0,Saint-Pierre
39108000,,Route,route 101,Bearn,53.0,91.0,10.0,Béarn
1529500,autoroute 15,Route,"à la sortie 72, Montée Séraphin","route 117, sortie 76",53.0,88.0,7.0,Sainte-Adèle
31516000,Route 315,Route,route 309,rue Robitaille,53.0,89.0,6.0,L'Ange-Gardien
3011020,00030-01-050-34C0,Bretelle,Autoroute 30 ouest,Route 205 (Chemin de la Beauce),56.0,29.0,2.0,Beauharnois
13277700,ROUTE 132,Route,Route des Grosses-Roches,Rue de la Mer,53.0,65.0,6.0,Grosses-Roches
2047502,parc routier de Villeroy,Bretelle,entrée de la halte de Villeroy,sortie de la halte de Villeroy,53.0,64.0,7.0,Villeroy
2012700,autoroute 20,Route,"Sortie 56, autoroute de la Côte de Liesse",Entrée boul Fénélon,56.0,29.0,2.0,Dorval
3030501,00030-03-070-31A0,Bretelle,VENANT AUT 30 VERS  RTE DU VILLAGE.,Non-défini,56.0,29.0,2.0,Verchères
34222000,ROUTE HARWOOD,Route,Bretelle 40-01-053-31F0,Bretelle 40-01-053-31E0,56.0,29.0,2.0,Vaudreuil-Dorion
24962500,route 249,Route,début des 4 voies,Rue Laurier,53.0,90.0,9.0,Asbestos
4057015,Voie de service A-40 ouest,Bretelle,A40 Ouest,A740-N et voie de service Ouest,53.0,71.0,84.0,Québec
3026000,autoroute 30,Route,Centre du viaduc  Route 116,Boulevard  Clairevue,56.0,29.0,2.0,Saint-Bruno-de-Montarville
6539001000,,Route,chemin Normandin,rang Saint-Louis (65370),53.0,86.0,11.0,Saint-Damase
9976006000,,Route,Chemin du Phare,Rue de la Belle-Anse,53.0,63.0,6.0,Les Îles-de-la-Madeleine
4050002,00040-07-123-32G0,Bretelle,"FIN BRET. ""H"" ET DEBUT BRET. ""D""",Intersection route 367 dir. nord,53.0,71.0,84.0,Saint-Augustin-de-Desmaures
7031101000,,Route,route 137,chemin Martin (70250),53.0,86.0,10.0,Saint-Dominique
32157500,Route Bellerive et chemin de la Mullen,Route,rue de l'Annonciation,l'Ascension,53.0,88.0,9.0,Rivière-Rouge
7277302000,,Route,route Caya (72601),route O'Brien (72660),53.0,64.0,8.0,Lefebvre
1301000,autoroute 13,Route,Entrée venant de la 20 est,Sortie pour la rue Hickmore,56.0,29.0,2.0,Montréal
13208400,BOUL. ST-JEAN-BAPTISTE (ROUTE 138),Route,autoroute 30 ouest et route 132 est,rue Parkview et Rameau,56.0,29.0,2.0,Châteauguay
